Timestamp,X-Axis-plate,Y-Axis-plate,Z-Axis-plate,X-Axis-extrusion,Y-Axis-extrusion,Z-Axis-extrusion,Tension
1573817038584,-0.85,-0.118,9.695,0.17,0.221,-9.857,242.0
1573817038584,-0.87,-0.139,9.686,0.163,0.182,-9.798,243.8
1573817038600,-0.59,-0.131,9.678,0.311,0.26,-9.86,243.5
1573817038600,-0.83,-0.98,9.674,0.133,0.154,-9.822,234.6
1573817038615,-0.8,-0.131,9.666,0.192,0.233,-9.801,238.3
1573817038615,-0.75,-0.153,9.667,0.318,0.25,-9.85,241.6
1573817038615,-0.73,-0.111,9.673,0.119,0.216,-9.82,236.1
1573817038615,-0.7,-0.132,9.674,0.237,0.249,-9.809,238.1
1573817038631,-0.62,-0.127,9.685,0.322,0.258,-9.817,239.7
1573817038631,-0.89,-0.108,9.672,0.129,0.182,-9.823,241.1
1573817038631,-0.9,-0.114,9.691,0.234,0.231,-9.829,235.7
1573817038646,-0.97,-0.133,9.716,0.31,0.242,-9.838,236.1
1573817038646,-0.94,-0.97,9.695,0.144,0.201,-9.845,234.9
1573817038646,-0.85,-0.123,9.699,0.25,0.278,-9.835,248.1
1573817038662,-0.9,-0.117,9.673,0.314,0.24,-9.817,230.2
1573817038662,-0.103,-0.97,9.686,0.1,0.192,-9.847,237.1
1573817038662,-0.86,-0.13,9.68,0.267,0.275,-9.81,236.3
1573817038678,-0.77,-0.128,9.67,0.284,0.234,-9.799,243.3
1573817038678,-0.91,-0.115,9.65,0.114,0.206,-9.827,244.2
1573817038678,-0.86,-0.137,9.682,0.304,0.256,-9.811,232.9
1573817038693,-0.87,-0.122,9.66,0.292,0.234,-9.802,240.7
1573817038693,-0.79,-0.102,9.668,0.112,0.192,-9.824,251.7
1573817038693,-0.71,-0.129,9.684,0.303,0.257,-9.819,245.9
1573817038709,-0.99,-0.106,9.674,0.252,0.212,-9.817,236.5
1573817038709,-0.84,-0.107,9.681,0.11,0.198,-9.852,240.3
1573817038709,-0.82,-0.133,9.687,0.311,0.259,-9.84,240.3
1573817038725,-0.9,-0.118,9.69,0.215,0.213,-9.831,243.8
1573817038725,-0.86,-0.119,9.689,0.12,0.202,-9.843,232.1
1573817038725,-0.59,-0.142,9.679,0.322,0.255,-9.817,238.9
1573817038725,-0.84,-0.127,9.674,0.177,0.215,-9.831,243.6
1573817038740,-0.101,-0.138,9.692,0.107,0.23,-9.805,240.9
1573817038749,-0.73,-0.145,9.675,0.299,0.284,-9.833,235.2
1573817038754,-0.59,-0.135,9.669,0.147,0.214,-9.82,237.9
1573817038759,-0.73,-0.117,9.663,0.14,0.218,-9.781,245.1
1573817038764,-0.66,-0.133,9.688,0.301,0.28,-9.824,234.9
1573817038769,-0.83,-0.113,9.684,0.153,0.209,-9.821,236.7
1573817038774,-0.75,-0.126,9.685,0.167,0.25,-9.814,231.4
1573817038779,-0.73,-0.131,9.698,0.316,0.284,-9.827,243.8
1573817038784,-0.74,-0.109,9.689,0.133,0.194,-9.843,234.7
1573817038789,-0.73,-0.121,9.687,0.164,0.253,-9.817,235.8
1573817038794,-0.64,-0.145,9.694,0.287,0.244,-9.869,238.7
1573817038799,-0.75,-0.11,9.68,0.119,0.235,-9.831,248.9
1573817038804,-0.79,-0.138,9.684,0.197,0.212,-9.8,239.9
1573817038809,-0.81,-0.119,9.686,0.324,0.296,-9.83,237.5
1573817038814,-0.93,-0.97,9.675,0.12,0.167,-9.836,235.9
1573817038819,-0.8,-0.126,9.687,0.208,0.242,-9.801,241.3
1573817038824,-0.71,-0.139,9.693,0.314,0.27,-9.805,238.0
1573817038829,-0.82,-0.108,9.679,0.117,0.184,-9.858,236.6
1573817038834,-0.86,-0.118,9.686,0.218,0.246,-9.834,235.9
1573817038839,-0.75,-0.136,9.684,0.297,0.248,-9.848,249.8
1573817038844,-0.89,-0.108,9.683,0.108,0.215,-9.837,246.4
1573817038849,-0.84,-0.136,9.68,0.244,0.261,-9.825,233.7
1573817038854,-0.86,-0.141,9.69,0.273,0.241,-9.853,243.5
1573817038859,-0.98,-0.109,9.683,0.84,0.19,-9.79,242.5
1573817038864,-0.74,-0.128,9.676,0.286,0.268,-9.76,241.6
1573817038869,-0.75,-0.125,9.683,0.258,0.243,-9.808,233.8
1573817038874,-0.95,-0.11,9.661,0.108,0.18,-9.833,238.0
1573817038879,-0.83,-0.132,9.668,0.273,0.282,-9.836,248.5
1573817038884,-0.78,-0.129,9.671,0.258,0.237,-9.826,243.9
1573817038889,-0.106,-0.129,9.678,0.76,0.189,-9.844,231.8
1573817038894,-0.84,-0.152,9.672,0.308,0.26,-9.806,237.9
1573817038899,-0.98,-0.128,9.67,0.226,0.213,-9.826,241.2
1573817038904,-0.92,-0.11,9.678,0.121,0.214,-9.829,239.9
1573817038909,-0.8,-0.148,9.67,0.298,0.25,-9.826,229.6
1573817038914,-0.84,-0.112,9.7,0.238,0.202,-9.778,240.4
1573817038919,-0.75,-0.119,9.666,0.123,0.208,-9.823,244.5
1573817038924,-0.55,-0.137,9.659,0.29,0.258,-9.838,239.6
1573817038929,-0.95,-0.12,9.698,0.199,0.227,-9.871,239.2
1573817038934,-0.96,-0.108,9.672,0.114,0.203,-9.834,236.9
1573817038939,-0.62,-0.143,9.67,0.309,0.289,-9.845,241.8
1573817038944,-0.67,-0.109,9.689,0.224,0.224,-9.841,233.0
1573817038944,-0.71,-0.116,9.677,0.125,0.208,-9.816,232.9
1573817038944,-0.71,-0.137,9.695,0.286,0.278,-9.856,246.5
1573817038959,-0.8,-0.124,9.667,0.15,0.236,-9.813,241.5
1573817038959,-0.79,-0.109,9.674,0.13,0.227,-9.817,242.1
