Timestamp,X-Axis-plate,Y-Axis-plate,Z-Axis-plate,X-Axis-extrusion,Y-Axis-extrusion,Z-Axis-extrusion,Tension
1572437369953,-0.187,-0.175,9.495,0.851,1.71,-10.537,346.3
1572437369958,-0.302,-0.172,9.512,0.779,1.56,-8.869,342.3
1572437369962,-0.57,-0.263,9.319,0.483,-0.435,-11.227,349.5
1572437369968,-0.178,-0.159,9.588,-1.715,0.322,-8.445,350.0
1572437369973,-0.128,-0.134,9.407,1.234,1.156,-10.746,343.0
1572437369978,-0.91,-0.23,9.645,1.22,0.151,-9.123,349.2
1572437369982,-0.12,-0.227,9.441,-0.36,-0.825,-11.1,343.6
1572437369988,-0.292,-0.212,9.664,-0.899,1.543,-9.545,347.1
1572437369993,-0.222,-0.65,9.623,0.885,0.329,-10.391,343.0
1572437369998,-0.106,-0.147,9.625,1.72,-0.763,-10.124,345.5
1572437370002,-0.19,-0.187,9.515,-0.582,1.123,-10.186,347.9
1572437370008,-0.239,-0.214,9.514,-0.108,1.137,-9.47,345.8
1572437370014,-0.86,-0.154,9.426,1.107,0.0,-10.97,341.6
1572437370017,-0.71,-0.195,9.437,0.229,-0.38,-9.401,345.9
1572437370023,-0.191,-0.295,9.462,-0.225,0.964,-10.29,341.8
1572437370028,-0.166,-0.18,9.554,-0.167,0.866,-9.545,341.4
1572437370033,-0.157,-0.202,9.61,1.88,-0.44,-9.873,341.9
1572437370038,-0.173,-0.147,9.503,-0.1,0.295,-10.501,345.4
1572437370043,-0.253,-0.183,9.625,-0.75,0.533,-9.405,345.3
1572437370048,-0.262,-0.172,9.528,0.953,0.82,-10.205,349.5
1572437370053,-0.74,-0.138,9.561,3.84,0.64,-9.328,347.5
1572437370058,-0.197,-0.296,9.368,5.436,1.263,-10.123,343.5
1572437370063,-0.476,-0.27,9.406,-0.972,5.968,-9.61,346.3
1572437370068,-0.165,-0.114,9.757,-1.885,4.476,-9.938,345.6
1572437370073,0.118,-0.16,9.51,0.87,2.3,-9.659,342.3
1572437370078,-0.254,0.66,9.584,0.181,-2.971,-11.325,343.0
1572437370083,-0.195,-0.481,8.945,0.536,-1.357,-8.699,340.7
1572437370088,-0.141,-0.2,9.527,1.33,-2.713,-11.215,344.6
1572437370093,-0.146,-0.116,10.2,-3.651,-2.409,-8.421,343.4
1572437370098,-0.554,-0.427,9.503,1.387,0.64,-12.405,348.6
1572437370103,0.89,0.26,9.263,2.928,-7.375,-8.559,345.8
1572437370108,-0.29,-0.258,9.788,-0.892,-0.242,-10.901,342.8
1572437370114,-0.21,-0.21,9.514,-0.943,5.289,-9.827,340.6
1572437370118,-0.75,0.18,9.639,1.906,-1.313,-9.91,346.2
1572437370123,-0.25,-0.62,9.317,2.376,-2.93,-9.659,343.8
1572437370128,-0.453,-0.284,9.584,-0.693,1.651,-10.24,348.3
1572437370133,-0.388,-0.34,9.368,-0.712,1.826,-9.786,342.6
1572437370138,0.33,-0.295,9.611,1.904,-1.266,-10.162,345.4
1572437370143,-0.168,-0.7,9.55,1.156,-1.8,-9.338,342.4
1572437370148,-0.303,-0.243,9.323,0.641,2.303,-10.548,344.0
1572437370153,-0.193,-0.214,9.776,-0.76,0.53,-9.583,341.5
1572437370158,-0.205,-0.83,9.46,0.64,-0.251,-10.811,340.9
1572437370163,-0.151,-0.151,9.587,1.926,0.74,-9.601,346.6
1572437370168,-0.184,-0.277,9.515,0.219,0.53,-9.163,341.7
1572437370173,-0.31,-0.154,9.576,-0.118,0.33,-10.553,343.0
1572437370178,-0.175,-0.252,9.517,0.707,0.134,-9.55,340.9
1572437370183,-0.162,-0.136,9.389,0.786,0.73,-11.13,349.1
1572437370187,-0.151,-0.378,9.638,0.704,1.405,-8.961,346.4
1572437370192,-0.104,-0.213,9.496,-0.22,1.37,-10.145,342.8
1572437370198,-0.198,-0.133,9.475,-0.46,-0.163,-10.359,341.2
1572437370203,-0.61,-0.255,9.528,0.913,0.43,-9.438,339.5
1572437370207,-0.352,-0.398,9.617,2.229,2.75,-10.448,341.6
1572437370213,-0.302,-0.28,9.459,-1.446,-0.297,-9.401,341.2
1572437370217,-0.86,-0.206,9.629,0.853,-0.672,-10.863,346.8
1572437370222,-0.121,-0.123,9.603,0.43,1.33,-9.16,341.6
1572437370228,-0.143,-0.177,9.613,1.454,1.319,-9.998,339.5
1572437370232,-0.198,-0.128,9.615,-0.725,1.366,-9.965,345.8
1572437370238,-0.137,-0.216,9.359,-0.383,-0.162,-10.387,343.2
1572437370242,-0.19,-0.221,9.48,1.286,0.323,-9.895,340.6
1572437370248,-0.149,-0.201,9.503,0.226,2.781,-9.145,346.8
1572437370252,-0.71,-0.244,9.693,0.706,0.121,-9.902,344.8
1572437370258,-0.36,-0.57,9.483,-1.335,-0.716,-10.824,352.7
1572437370263,-0.274,-0.217,9.584,1.101,0.587,-9.212,344.7
1572437370268,-0.274,-0.269,9.578,0.158,3.412,-9.85,349.2
1572437370273,-0.11,-0.143,9.595,0.633,-0.95,-9.59,342.5
1572437370278,-0.124,-0.26,9.469,-0.621,-1.898,-10.234,339.3
1572437370283,-0.227,-0.209,9.564,0.498,1.991,-10.54,340.5
1572437370288,-0.221,-0.204,9.603,-0.227,2.761,-9.302,342.3
1572437370293,-0.29,-0.136,9.607,0.342,-1.48,-10.363,346.7
1572437370298,-0.129,-0.18,9.488,0.9,-0.63,-10.71,353.7
1572437370303,-0.263,-0.306,9.519,1.5,1.182,-9.512,340.5
1572437370308,-0.171,-0.207,9.553,0.907,1.501,-9.656,342.6
1572437370313,-0.443,-0.26,9.37,-1.636,0.485,-10.373,348.1
1572437370318,-0.81,-0.361,9.621,-0.182,-0.319,-10.164,338.2
