Label,Group,X-Axis-plate_mean,X-Axis-plate_std,X-Axis-plate_max,X-Axis-plate_min,X-Axis-plate_ptp,Y-Axis-plate_mean,Y-Axis-plate_std,Y-Axis-plate_max,Y-Axis-plate_min,Y-Axis-plate_ptp,Z-Axis-plate_mean,Z-Axis-plate_std,Z-Axis-plate_max,Z-Axis-plate_min,Z-Axis-plate_ptp,X-Axis-extrusion_mean,X-Axis-extrusion_std,X-Axis-extrusion_max,X-Axis-extrusion_min,X-Axis-extrusion_ptp,Y-Axis-extrusion_mean,Y-Axis-extrusion_std,Y-Axis-extrusion_max,Y-Axis-extrusion_min,Y-Axis-extrusion_ptp,Z-Axis-extrusion_mean,Z-Axis-extrusion_std,Z-Axis-extrusion_max,Z-Axis-extrusion_min,Z-Axis-extrusion_ptp,Tension_mean,Tension_std,Tension_max,Tension_min,Tension_ptp
0,0,-0.24412244897959184,0.25812494069006076,0.93,-0.99,1.92,-0.22675714285714288,0.2462699535063098,0.97,-0.99,1.96,9.672107142857143,0.11495557149771969,10.78,8.695,2.084999999999999,0.23684285714285713,1.182286548798297,6.95,-6.401,13.350999999999999,0.32320102040816323,1.2768757260575037,7.468,-7.3,14.768,-9.874560204081632,0.635351361451219,-6.877,-12.978,6.101,326.39612244897967,49.840892411685104,366.9,214.6,152.29999999999998
0,0,-0.2431612244897959,0.2657329957439837,0.97,-0.99,1.96,-0.2375581632653061,0.24493209738888913,0.96,-0.99,1.95,9.662001020408162,0.12267313878168523,11.8,8.874,2.926,0.2675724489795918,1.1470521747897613,7.135,-6.27,13.405,0.3324387755102041,1.1686875445831562,8.476,-6.501,14.977,-9.847576530612244,0.7055881518714956,-2.639,-15.63,12.991000000000001,320.44051020408165,55.04327056447109,368.8,217.0,151.8
0,0,-0.2399438775510204,0.2642929881494486,0.97,-0.99,1.96,-0.21161224489795918,0.2676095935200008,0.99,-0.99,1.98,9.664130612244898,0.14131021483952425,10.74,9.102,1.638,0.25835816326530614,1.3729804862402912,7.135,-6.879,14.014,0.32556326530612245,1.295230904903797,7.108,-7.156,14.264,-9.849638775510204,0.5947409263846468,-7.504,-12.726,5.222000000000001,317.7766326530612,56.3207299973685,368.8,217.9,150.9
0,0,-0.24343265306122447,0.26500730940073786,0.97,-0.99,1.96,-0.23595102040816326,0.26397338233350615,0.94,-0.99,1.93,9.678058163265305,0.14360372658989026,11.92,9.102,2.8179999999999996,0.27021122448979595,1.2171380354014698,7.462,-6.518,13.98,0.31664387755102047,1.287187029808572,7.768,-6.996,14.764,-9.868838775510206,0.5599056339282746,-7.34,-12.115,4.775,333.66857142857145,46.55420597408521,370.6,217.8,152.8
0,0,-0.24260102040816325,0.24633555801348678,0.88,-0.99,1.87,-0.23387653061224492,0.24908748168228062,0.97,-0.997,1.967,9.674275510204083,0.14292642467240846,11.908,8.386,3.5220000000000002,0.2578010204081633,1.0916533912985626,7.134,-5.677,12.811,0.32281122448979593,1.1765327406723585,8.322,-7.243,15.565,-9.86128469387755,0.7647041922223635,-3.45,-15.61,12.16,317.8409183673469,55.200819917504525,370.4,217.7,152.7
0,0,-0.24048163265306122,0.2846112433947791,0.95,-0.99,1.94,-0.22320816326530613,0.26769704460166,0.99,-0.99,1.98,9.671788775510203,0.13570321487375328,10.93,8.807,2.1229999999999993,0.2593877551020408,1.317986430612483,7.151,-6.332,13.483,0.3294112244897959,1.3738614838522791,8.849,-6.825,15.674,-9.855469387755102,0.7647152731983914,-3.45,-15.61,12.16,314.1109183673469,52.13997793590443,363.7,217.7,146.0
0,0,-0.23933673469387756,0.2834587377335563,0.95,-0.99,1.94,-0.23238775510204082,0.27372777452048963,0.97,-0.99,1.96,9.669569387755102,0.12470232425714994,10.56,9.175,1.3849999999999998,0.26342346938775507,1.228631840400169,6.449,-6.63,13.079,0.33478571428571424,1.3243308364172883,7.766,-7.229,14.995000000000001,-9.86724387755102,0.5857677943443862,-6.268,-12.54,6.271999999999999,331.90408163265306,43.28843017969014,371.6,219.6,152.00000000000003
0,0,-0.22955510204081636,0.26083755212089027,0.99,-0.99,1.98,-0.2261591836734694,0.24760881171749508,0.89,-0.99,1.88,9.68045918367347,0.12410481649349725,10.962,9.211,1.7509999999999994,0.2701632653061225,1.0391686325201641,7.66,-6.89,14.55,0.3293336734693877,1.099408898643775,8.6,-5.552,14.152,-9.864292857142859,0.6431474272779809,-6.576,-13.219,6.643,315.95795918367344,53.83347706565056,367.2,222.7,144.5
0,0,-0.24429795918367347,0.2808711175783523,0.94,-0.99,1.93,-0.2382918367346939,0.2587964658755749,0.95,-0.99,1.94,9.66272448979592,0.13024929633655707,10.991,9.137,1.8539999999999992,0.25159081632653063,1.2525071668365353,7.66,-5.754,13.414,0.32767142857142856,1.3962586963535293,8.577,-8.244,16.820999999999998,-9.847768367346939,0.8218311252241122,-4.739,-15.99,11.251000000000001,313.69193877551027,51.28197565279047,364.2,221.4,142.79999999999998
0,0,-0.23309795918367346,0.26137079103067035,0.98,-0.99,1.97,-0.23670612244897957,0.24528054608763047,0.97,-0.99,1.96,9.659079591836734,0.10906829816743052,10.81,9.166,1.6440000000000001,0.25474591836734695,1.282844254522306,7.236,-6.201,13.437,0.34400918367346933,1.205391753118914,8.577,-6.932,15.509,-9.861352040816326,0.6276641760559529,-7.232,-12.412,5.180000000000001,328.3908163265306,38.95089553012764,361.0,222.5,138.5
0,0,-0.24788469387755102,0.27128065136780205,0.95,-0.99,1.94,-0.22266428571428573,0.25297087141747027,0.96,-0.99,1.95,9.667691836734694,0.12039352538143096,10.86,9.152,1.7080000000000002,0.2571510204081633,1.1417834097340251,7.976,-7.363,15.339,0.3360571428571429,1.1850784288176794,8.663,-7.12,15.783000000000001,-9.874071428571428,0.5485430247482872,-6.145,-12.97,6.825000000000001,308.20581632653057,50.8102694991722,357.2,217.0,140.2
0,0,-0.25902857142857144,0.2612969520351455,0.95,-0.99,1.94,-0.22892857142857143,0.259493146069685,0.96,-0.99,1.95,9.676682653061226,0.12396731920024716,10.868,8.94,1.9280000000000008,0.26596734693877555,1.2800890175340653,7.976,-6.933,14.908999999999999,0.31658673469387755,1.3705022487780398,7.773,-8.667,16.439999999999998,-9.860241836734694,0.6809733008077138,-6.858,-12.97,6.112000000000001,310.1591836734694,52.74611841166018,363.2,217.0,146.2
0,0,-0.24366326530612245,0.25502187356676104,0.9,-0.99,1.8900000000000001,-0.23210102040816327,0.26083612612680074,0.97,-0.99,1.96,9.674524489795918,0.13062427194307366,10.868,8.9,1.968,0.25960102040816324,1.193636055786029,7.553,-6.19,13.743,0.343065306122449,1.3611770048719796,8.99,-8.667,17.657,-9.848395918367347,0.7533731617197861,-2.304,-16.326,14.022,332.59755102040816,41.25791963705888,366.6,220.2,146.40000000000003
0,0,-0.24869795918367346,0.2636529734404646,0.97,-0.99,1.96,-0.22552857142857144,0.24822308966914816,0.97,-0.99,1.96,9.67757755102041,0.10835822631590564,10.6,9.11,1.4900000000000002,0.2647989795918368,1.297310409017787,7.336,-6.42,13.756,0.3290602040816326,1.1701351471953993,7.257,-8.95,16.207,-9.844399999999998,0.5673721317780486,-6.724,-12.836,6.112,318.1098979591836,56.1293367397721,372.2,218.7,153.5
0,0,-0.25153979591836734,0.28916353583586785,0.98,-0.99,1.97,-0.2479326530612245,0.2548567055471545,0.93,-0.99,1.92,9.678214285714287,0.14647771649152447,10.95,8.666,2.283999999999999,0.25793061224489794,1.2542923703377058,7.542,-6.654,14.196,0.3238632653061224,1.3411839430364223,8.898,-8.95,17.848,-9.863288775510204,0.6614182792137608,-6.618,-12.908,6.289999999999999,319.41571428571433,57.47442002441484,372.4,216.3,156.09999999999997
0,0,-0.25010612244897956,0.26364235391689655,0.98,-0.99,1.97,-0.22913367346938773,0.24847083245399887,0.96,-0.99,1.95,9.67514693877551,0.114574032927366,10.7,8.666,2.033999999999999,0.2617316326530612,1.1805318977699994,8.523,-6.115,14.638,0.3344122448979592,1.2129949927774326,7.477,-9.676,17.153,-9.8709806122449,0.6308820442093337,-6.703,-12.908,6.204999999999999,334.1372448979592,46.58980236324412,372.4,215.3,157.09999999999997
0,0,-0.24119897959183673,0.2639152967838541,0.94,-0.99,1.93,-0.229334693877551,0.24664166401682405,0.97,-0.99,1.96,9.678216326530613,0.13861976380414828,11.52,8.941,2.578999999999999,0.2630255102040816,1.2421277442448095,7.971,-6.502,14.472999999999999,0.32365204081632654,1.1896771146355938,8.5,-7.389,15.889,-9.82537448979592,0.6872292413493157,-2.144,-15.924,13.78,314.56081632653064,56.29052640186372,369.4,210.9,158.49999999999997
0,0,-0.23060306122448979,0.2626887165969707,0.95,-0.99,1.94,-0.2378530612244898,0.2693112357000769,0.92,-0.99,1.9100000000000001,9.676595918367347,0.1317706649698846,10.8,9.143,1.657,0.26588265306122455,1.4145567206095104,7.529,-6.794,14.323,0.3479336734693878,1.32323418673632,8.892,-8.289,17.180999999999997,-9.844919387755104,0.6279388884145484,-6.888,-12.596,5.708,316.02622448979594,56.55124329666488,369.5,210.9,158.6
0,0,-0.2433744897959184,0.27260327300175674,0.93,-0.99,1.92,-0.2474387755102041,0.23888674484744177,0.95,-0.99,1.94,9.675242857142859,0.1064705008489225,10.59,9.236,1.3539999999999992,0.2660571428571428,1.172862118834059,7.993,-6.796,14.789000000000001,0.3248765306122449,1.2379275654109532,8.892,-5.649,14.541,-9.885118367346937,0.6035951578339572,-7.146,-12.384,5.238,331.31836734693877,50.06867558549421,369.9,214.0,155.89999999999998
0,0,-0.23833877551020408,0.26055306860155053,0.99,-0.99,1.98,-0.22518877551020408,0.23538530739031976,0.87,-0.99,1.8599999999999999,9.681620408163267,0.1266581079844506,11.125,8.822,2.303000000000001,0.2552826530612245,1.167859262866185,7.993,-5.638,13.631,0.3430551020408163,1.3278187672255646,8.3,-8.166,16.466,-9.838344897959184,0.7728242371028236,0.284,-17.498,17.782,319.93673469387755,59.774407512073324,376.8,216.3,160.5
0,0,-0.24584591836734693,0.26609126432998137,0.88,-0.99,1.87,-0.24043673469387752,0.2770819282759034,0.98,-0.99,1.97,9.676729591836734,0.12745883425814644,11.125,8.822,2.303000000000001,0.2535122448979592,1.291210917520268,7.611,-5.616,13.227,0.3383316326530612,1.365985738570856,7.962,-8.86,16.822,-9.834617346938776,0.7453504363481582,0.284,-17.498,17.782,326.6702040816326,56.76309873068392,373.0,217.3,155.7
0,0,-0.24995306122448976,0.2669313368884925,0.9,-0.99,1.8900000000000001,-0.21370204081632652,0.25736778058962817,0.98,-0.99,1.97,9.664576530612244,0.11450932258725452,10.71,9.187,1.5230000000000015,0.26170816326530616,1.1953121830012945,7.82,-6.754,14.574,0.34153367346938773,1.1743554393137068,9.341,-7.317,16.658,-9.85072244897959,0.5572890801763465,-7.39,-12.379,4.989,329.6121428571429,51.83435651974785,373.3,212.2,161.10000000000002
0,0,-0.22895816326530613,0.25758133901521535,0.96,-0.99,1.95,-0.23678673469387754,0.24441819387578545,0.94,-0.99,1.93,9.674877551020408,0.1287352896534814,10.97,8.906,2.064,0.26638469387755104,1.2552034927186386,8.153,-6.1,14.253,0.31690918367346943,1.3041257369098895,7.44,-7.855,15.295000000000002,-9.865002040816325,0.6596398739169284,-7.123,-12.407,5.284,309.2137755102041,57.64886961058452,366.8,208.8,158.0
0,0,-0.24676632653061226,0.27331883431741044,0.95,-0.99,1.94,-0.23781326530612246,0.2622019101012926,0.97,-0.99,1.96,9.678176530612246,0.17976946251593864,11.636,6.886,4.749999999999999,0.24621938775510205,1.2037451946760775,8.153,-5.888,14.041,0.31473367346938774,1.3492950840969289,7.44,-7.855,15.295000000000002,-9.857905102040815,0.83303220420298,1.924,-17.119,19.043,313.7518367346939,53.8467014006285,364.0,205.6,158.4
0,0,-0.2400173469387755,0.26326577458232325,0.91,-0.99,1.9,-0.23256020408163264,0.24728890285960947,0.99,-0.99,1.98,9.67500612244898,0.10704094182985192,10.75,9.209,1.5410000000000004,0.24617551020408165,1.2628697194801377,8.59,-6.778,15.367999999999999,0.3183234693877551,1.1156387922420545,6.954,-8.666,15.620000000000001,-9.86387857142857,0.5886689071064289,-6.818,-12.308,5.49,323.5997959183674,54.07059501111774,369.5,206.1,163.4
0,0,-0.22996020408163265,0.2624077397594679,0.93,-0.99,1.92,-0.235234693877551,0.235768811919401,0.86,-0.99,1.85,9.670819387755103,0.10937711878592737,10.67,9.3,1.3699999999999992,0.27452857142857146,1.2685911284667295,7.66,-6.87,14.530000000000001,0.33046224489795917,1.3601349383849268,9.292,-6.727,16.019,-9.85341224489796,0.589959010555629,-6.818,-12.362,5.5440000000000005,316.53887755102045,60.63733197752316,373.0,210.7,162.3
0,0,-0.2447530612244898,0.268560285180708,0.99,-0.99,1.98,-0.22202448979591838,0.23278154209263544,0.91,-0.99,1.9,9.675942857142855,0.10324015395065575,10.36,8.932,1.427999999999999,0.27728775510204084,1.179363547164603,7.841,-5.663,13.504000000000001,0.32595,1.339798184829129,8.42,-8.398,16.817999999999998,-9.860294897959184,0.6773714741968412,-7.302,-13.79,6.4879999999999995,325.7667346938776,54.2449525118351,370.7,216.7,154.0
