Timestamp,X-Axis-plate,Y-Axis-plate,Z-Axis-plate,X-Axis-extrusion,Y-Axis-extrusion,Z-Axis-extrusion,Tension
1575294124152,-0.233,-0.198,9.585,0.514,0.387,-10.309,317.7
1575294124155,-0.228,-0.219,9.576,-0.269,-0.259,-10.293,314.3
1575294124162,-0.302,-0.137,9.637,-0.87,-0.162,-8.872,316.5
1575294124166,-0.33,-0.254,9.617,0.235,1.144,-10.468,320.9
1575294124172,-0.43,-0.301,9.665,0.579,0.486,-8.661,316.8
1575294124177,-0.43,-0.409,9.585,0.565,-0.26,-11.413,319.3
1575294124182,-0.13,-0.142,9.745,-1.227,0.3,-8.878,310.4
1575294124186,-0.202,-0.152,9.521,0.178,0.36,-10.112,313.3
1575294124191,-0.162,-0.441,9.58,0.605,0.924,-9.669,325.4
1575294124197,0.72,-0.297,9.797,1.425,0.235,-9.169,308.1
1575294124201,-0.96,-0.142,9.445,-0.531,0.364,-10.134,316.3
1575294124206,-0.154,-0.282,9.725,-1.84,0.204,-9.314,311.8
1575294124211,-0.127,-0.418,9.647,0.366,0.504,-9.643,315.4
1575294124216,0.29,-0.233,9.665,0.958,0.638,-10.118,317.4
1575294124221,-0.122,-0.304,9.745,0.265,0.112,-8.839,312.9
1575294124226,-0.165,-0.175,9.474,-0.953,0.55,-10.72,310.9
1575294124231,-0.173,-0.194,9.69,0.9,0.176,-9.496,318.0
1575294124236,-0.206,-0.22,9.523,1.35,0.49,-10.246,309.5
1575294124241,-0.166,-0.142,9.678,0.488,0.459,-9.874,318.4
1575294124247,-0.306,-0.319,9.545,0.13,0.51,-9.612,313.3
1575294124251,-0.174,-0.128,9.644,-0.746,0.331,-9.77,312.9
1575294124256,-0.52,-0.206,9.604,0.699,0.122,-9.94,315.0
1575294124262,-0.18,-0.201,9.57,-1.661,0.233,-11.58,317.2
1575294124267,-0.214,-0.304,9.61,-4.854,-1.107,-9.397,314.5
1575294124272,-0.334,-0.256,9.52,-4.22,0.476,-9.943,315.9
1575294124276,-0.53,-0.7,9.617,-0.603,-0.249,-8.989,311.8
1575294124282,-0.254,-0.73,9.499,-1.648,-0.666,-10.556,311.1
1575294124286,-0.403,-0.163,9.421,-4.379,0.428,-10.689,309.6
1575294124291,-0.159,-0.229,9.853,-4.226,-1.34,-9.724,306.1
1575294124296,-0.331,-0.58,9.627,-1.24,-0.119,-8.398,315.1
1575294124302,-0.163,-0.207,9.356,2.616,2.11,-10.98,309.8
1575294124307,-0.187,-0.346,9.611,0.254,0.9,-9.357,304.2
1575294124311,-0.198,-0.103,9.634,-1.872,-0.3,-9.307,313.7
1575294124317,-0.157,-0.353,9.639,2.188,0.84,-9.96,319.7
1575294124321,-0.354,-0.198,9.549,0.688,0.803,-9.636,315.5
1575294124327,-0.199,-0.106,9.527,-1.255,-0.581,-9.656,310.1
1575294124332,-0.19,-0.387,9.592,0.748,0.615,-9.878,313.7
1575294124337,-0.176,-0.21,9.642,0.608,0.93,-10.51,310.7
1575294124341,-0.275,-0.212,9.612,-0.106,-0.722,-9.627,310.0
1575294124346,-0.204,-0.18,9.597,0.192,0.968,-10.418,311.5
1575294124351,-0.15,-0.264,9.582,0.789,0.661,-9.277,311.7
1575294124356,-0.249,-0.13,9.616,-0.29,-0.2,-10.66,311.6
1575294124361,-0.167,-0.214,9.586,0.32,0.499,-9.488,306.2
1575294124366,-0.162,-0.333,9.446,0.209,0.574,-10.12,212.1
1575294124371,-0.248,-0.5,9.618,-0.396,0.376,-9.833,0.0
1575294124376,-0.181,-0.182,9.6,0.757,-0.43,-9.364,0.0
1575294124381,-0.155,-0.288,9.488,0.393,0.787,-10.122,0.0
1575294124387,-0.219,-0.169,9.652,-0.19,0.183,-9.491,0.0
1575294124391,-0.259,-0.163,9.631,0.458,0.229,-10.149,0.0
1575294124396,-0.183,-0.179,9.603,0.568,0.776,-9.686,0.0
1575294124402,-0.186,-0.202,9.637,0.233,-0.19,-9.6,0.0
1575294124406,-0.16,-0.112,9.55,-0.96,0.594,-9.948,0.0
1575294124411,-0.152,-0.22,9.659,0.581,0.375,-9.429,0.0
1575294124416,-0.175,-0.216,9.502,-0.22,0.173,-9.944,0.0
1575294124421,-0.165,-0.197,9.63,0.67,0.363,-9.672,98.8
1575294124426,-0.186,-0.218,9.574,0.644,0.494,-10.15,311.5
1575294124431,-0.181,-0.172,9.594,0.89,0.719,-9.688,314.1
1575294124436,-0.172,-0.19,9.605,0.215,-0.264,-9.787,316.7
1575294124441,-0.175,-0.228,9.611,0.149,0.706,-9.785,311.6
1575294124446,-0.11,-0.218,9.671,0.334,0.354,-9.752,313.5
1575294124451,-0.191,-0.253,9.645,-0.8,0.69,-9.97,308.3
1575294124456,-0.179,-0.231,9.639,-0.238,0.419,-9.958,311.1
1575294124462,-0.16,-0.221,9.603,0.722,0.132,-9.633,303.4
1575294124466,-0.229,-0.16,9.65,0.293,0.688,-10.77,306.4
1575294124471,-0.16,-0.241,9.572,0.16,0.62,-9.603,312.8
1575294124476,-0.169,-0.206,9.55,0.234,0.362,-10.39,304.7
1575294124482,-0.163,-0.187,9.572,0.341,0.445,-9.551,312.2
1575294124486,-0.189,-0.227,9.622,0.307,0.148,-9.719,312.4
1575294124491,-0.232,-0.198,9.553,-0.185,0.687,-10.438,310.1
1575294124496,-0.161,-0.216,9.637,0.543,0.245,-10.87,309.0
